2021-06-21 16:12:15.519 [main] INFO  s.d.s.w.WebMvcPropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2021-06-21 16:12:15.833 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-21 16:12:16.067 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2021-06-21 16:12:16.087 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2021-06-21 16:12:16.088 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Documentation plugins bootstrapped
2021-06-21 16:12:16.091 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-06-21 16:12:16.113 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-06-21 16:12:16.227 [main] INFO  com.boran.erp.ArchetypeLtPdApplication - Started ArchetypeLtPdApplication in 5.02 seconds (JVM running for 6.323)
2021-06-21 16:12:16.230 [main] INFO  com.boran.erp.ArchetypeLtPdApplication - 
===============启动成功了===============
2021-06-21 16:12:30.023 [http-nio-9090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-21 16:12:30.023 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-21 16:12:30.034 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2021-06-21 16:12:30.144 [http-nio-9090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-06-21 16:12:31.228 [http-nio-9090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-06-21 16:13:23.344 [main] INFO  com.boran.erp.ArchetypeLtPdApplication - Starting ArchetypeLtPdApplication on LAPTOP-M5HOM3R5 with PID 23008 (C:\Users\LT\Desktop\boran_erp\boran_erp-PD\target\classes started by LT in C:\Users\LT\Desktop\boran_erp)
2021-06-21 16:13:23.346 [main] INFO  com.boran.erp.ArchetypeLtPdApplication - No active profile set, falling back to default profiles: default
2021-06-21 16:13:24.488 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-21 16:13:24.494 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-21 16:13:24.546 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 0 Redis repository interfaces.
2021-06-21 16:13:25.070 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
